Source Link,Load Time (ms),XPath,Timestamp
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,264,/html[1]/head[1]/script[6],2024-08-05 00:00:00
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,166,/html[1]/head[1]/script[6],2024-08-12 00:00:00
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,288,/html[1]/head[1]/script[6],2024-08-08 00:00:00
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,328,/html[1]/head[1]/script[6],2024-08-05 00:00:00
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,275,/html[1]/head[1]/script[6],2024-08-13 00:00:00
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,196,/html[1]/head[1]/script[6],2024-08-08 00:00:00
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,355,/html[1]/head[1]/script[6],2024-08-11 00:00:00
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,212,/html[1]/head[1]/script[6],2024-08-11 00:00:00
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,190,/html[1]/head[1]/script[6],2024-08-14 00:00:00
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,196,/html[1]/head[1]/script[6],2024-08-11 00:00:00
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,332,/html[1]/head[1]/script[6],2024-08-08 00:00:00
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,313,/html[1]/head[1]/script[6],2024-08-12 00:00:00
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,292,/html[1]/head[1]/script[6],2024-08-05 00:00:00
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,311,/html[1]/head[1]/script[6],2024-08-11 00:00:00
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,219,/html[1]/head[1]/script[6],2024-08-14 00:00:00
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,283,/html[1]/head[1]/script[6],2024-08-11 00:00:00
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,203,/html[1]/head[1]/script[6],2024-08-09 00:00:00
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,290,/html[1]/head[1]/script[6],2024-08-08 00:00:00
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,324,/html[1]/head[1]/script[6],2024-08-08 00:00:00
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,203,/html[1]/head[1]/script[6],2024-08-12 00:00:00
https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,136,/html[1]/head[1]/script[6],2024-08-13 00:00:00
